0
  Saved OK.
1014fd70 : 孙悟空
1014fd78 : 猪八戒
1014fd80 : 沙悟净
1014fd88 : 二郎神
1014fd90 : 小龙女
1014fd98 : 铁扇
1014fd9e : 紫衣
1014fda4 : 嫦娥
1014fdaa : 唐三藏
1014fdb2 : 蜘蛛精
1014fdba : 牛魔王
1014fdc2 : 金角
1014fdc8 : 银角
1014fdce : 白骨精
1014fdd6 : 黄袍老怪
1014fde0 : 虎力仙
1014fde8 : 羊力仙
1014fdf0 : 鹿力仙
1014fdf8 : 金鱼精
1014fe00 : 六耳猕猴
1014fe0a : 红孩儿
1014fe12 : 大鹏鸟
1014fe1a : 白象王
1014fe22 : 青狮王
1014fe2a : 蝎子精
1014fe32 : 黄眉王
1014fe3a : 孙悟空
1014fe42 : 猪八戒
1014fe4a : 沙悟净
1014fe52 : 二郎神
1014fe5a : 小龙女
1014fe62 : 铁扇
1014fe68 : 紫衣
1014fe6e : 嫦娥
1014fe74 : 唐三藏
1014fe7c : 蜘蛛精
1014fe84 : 男商人
1014fe8c : 女商人
1014fe94 : 玉面公主
1014fe9e : 观音大士
1014fea8 : 如来佛祖
1014feb2 : 如来佛祖
1014febc : 村民
1014fec2 : 小女孩
1014feca : 妇人
1014fed0 : 老公公
1013d0f0 : 私闯水帘洞府，秃驴你好大胆子！
1013d110 : 花果山上果然不平静…。佛祖啊，请佑弟子度过危难吧…。
1013d146 : 头目战
1013d14e : 时，只要和
1013d15a : 同伴
1013d160 : 一起输入
1013d16a : Ａ＋Ｃ
1013d172 : ，便能遁入幻境，扭转逆势。
1013d18e : 吱啊！！头…头好疼啊，别打、别打了～。
1013d1b6 : 没想到默念紧箍咒，真能让这猴精浑身乏力。
1013d1e0 : 唉～观音大士所言不假…，老孙我认栽了。师父在上，请受徒儿一拜。
1013d220 : 这不是杨二郎吗？特地来拜访老孙的？
1013d244 : 泼猴，我今天有正事要办，快让开！
1013d266 : 别这样，先陪我叙叙旧，舒展舒展筋骨吧。
1013d28e : 胡闹够了就让开，别害我误了正事。
1013d2b0 : 啥正事这么要紧，莫非…也是要去西天取经？
1013d2da : …啧，怎么连你都有份？算啦，有我在，你休想再作怪，还不过来！
1013d318 : 哪来的妖孽，敢在花果山放肆？
1013d336 : 有趣！有趣！还没开始取经就有好对手上门，看来要使出全力了！
1013d372 : 等等…你是说西天取经？那不是跟我一样吗。
1013d39c : 原来是以后的同伴啊…。真无聊，老孙我还没打够呢～。
1013d3d0 : 哪来的姑娘，山里头可是很危险的！快快回去！
1013d3fc : 你是谁，想来破坏我的好事吗？
1013d41a : 姑娘请快逃，贫僧会尽力阻止他的。
1013d43c : 你…你就是三藏法师！？对不起啊对不起～菩萨娘娘说过，请带我一起去取经吧～。
1013d488 : 神…神仙！？为什么会出现在这边？
1013d4aa : 孽畜，我是来收拾你的。
1013d4c2 : 好痛…啊！我想起来了，菩萨娘娘有提过你，请带我去见三藏法师，拜托拜托～。
1013d50c : 呜啊，有妖怪啊！！你想做什么！？
1013d52e : 跟我比起来，你更像妖怪吧。还不住手！
1013d554 : 啊！好美丽的大姐…。
1013d56a : 你…你那是什么恶心的嘴脸！看我剥了你的皮！！
1013d598 : 好痛！好痛！
1013d5a6 : 会痛就给我滚，永远不准再回到高老庄！
